DIST_CODE,DIST_NAME,MEDIAN_CLASS_SIZE,STU:TCHR_RATIO,WEIGHTED_AVG_STU:TCHR+AIDE_RATIO,PREK_CURRICULA_MostSchool,PREK_Curricula_MostSchools_Count,PREK_CURRICULA_Available,Cnt_PreK_FullANDHalfDay,Cnt_PreK_FullDay_Only,Cnt_PreK_HalfDay_Only,Cnt_PreK_FullDayAvailable,Cnt_PreK_HalfDayAvailable,ADA_Eligible,ADA_Ineligible,PK_Total_Enrollment_21_22
092907,SPRING HILL ISD,15,14:1,9:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,30,5,35
092908,WHITE OAK ISD,18,18:1,18:1,Ready to Advance-E,1,Ready to Advance-E,0,1,0,1,0,30,5,35
093901,ANDERSON-SHIRO CISD,12,12:1,12:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,22
093903,IOLA ISD,19,19:1,19:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,11,7,18
093904,NAVASOTA ISD,19,17:1,17:1,Ready to Advance-E,3,Ready to Advance-E,2,1,0,3,2,*,*,118
093905,RICHARDS ISD,19,19:1,19:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,17
094901,SEGUIN ISD,21,20:1,20:1,Savvas-E,1,"Savvas-E,Savvas-S",0,0,1,0,1,316,15,331
094902,SCHERTZ-CIBOLO-U CITY ISD,20,18:1,12:1,PreK On My Way-E,8,"PreK On My Way-E,PreK On My Way-S",0,8,0,8,0,375,"",375
094903,NAVARRO ISD,14,14:1,14:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,27,"",27
094904,MARION ISD,15,11:1,11:1,Savvas-E,1,Savvas-E,0,1,0,1,0,44,5,49
095901,ABERNATHY ISD,18,18:1,12:1,Other,1,Other,0,1,0,1,0,27,7,34
095902,COTTON CENTER ISD,7,7:1,7:1,Quaver,1,Quaver,0,1,0,1,0,*,*,7
095903,HALE CENTER ISD,15,14:1,14:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,39,16,55
095904,PETERSBURG ISD,12,12:1,6:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,25
095905,PLAINVIEW ISD,21,20:1,20:1,Other,6,Other,0,6,0,6,0,147,8,155
096904,MEMPHIS ISD,19,15:1,15:1,Creative Curriculum-E,1,Creative Curriculum-E,1,0,0,1,1,32,5,37
096905,TURKEY-QUITAQUE ISD,11,11:1,11:1,Savvas-E,1,Savvas-E,0,1,0,1,0,*,*,6
097902,HAMILTON ISD,26,18:1,18:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,41,11,52
097903,HICO ISD,23,15:1,15:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,25,16,41
098901,GRUVER ISD,20,20:1,20:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,9,10,19
098903,PRINGLE-MORSE CISD,6,6:1,6:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,"",*,*
098904,SPEARMAN ISD,17,17:1,17:1,Other,1,"Other,Savvas-E",0,1,0,1,0,28,19,47
099902,CHILLICOTHE ISD,19,19:1,19:1,Other,1,Other,0,1,0,1,0,19,"",19
099903,QUANAH ISD,8,7:1,7:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,*,*,30
100903,KOUNTZE ISD,62,62:1,62:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,45,8,53
100904,SILSBEE ISD,24,24:1,24:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,100,6,106
100905,HARDIN-JEFFERSON ISD,20,20:1,20:1,CIRCLE-E,2,CIRCLE-E,0,2,0,2,0,53,22,75
100907,LUMBERTON ISD,17,9:1,9:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,73,14,87
100908,WEST HARDIN COUNTY CISD,15,15:1,15:1,Other,1,Other,0,1,0,1,0,*,*,28
101802,SER-NINOS CHARTER SCHOOL,17,19:1,14:1,CIRCLE-E,2,CIRCLE-E,2,0,0,2,2,103,"",103
101804,GEORGE I SANCHEZ CHARTER,16,22:1,22:1,Creative Curriculum-E,1,Creative Curriculum-E,1,0,0,1,1,36,"",36
101806,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,17,17:1,17:1,Creative Curriculum-E,3,Creative Curriculum-E,1,2,0,3,1,*,*,169
101810,ACADEMY OF ACCELERATED LEARNING INC,21,16:1,16:1,Savvas-E,1,Savvas-E,,,,,,,,
